"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000160072",11.850324891247,0.230971323070706,0.510167387953172,0.452736353841392,0.650738598632058,0.734596231474279
"ENSG00000225972",151.673496534206,0.0676502057183924,0.154224499311669,0.438647595034038,0.660916904538469,0.742553992441511
"ENSG00000198744",325.092964616329,-0.0873050374280835,0.125065445435912,-0.698074812941211,0.485130408654505,0.589355122649347
"ENSG00000142611",31.9012403693229,2.35854774863801,0.365771740795981,6.44814097312552,1.13230420541364e-10,7.91614919249522e-10
"ENSG00000225630",2012.43555321413,-0.161766766787088,0.0785045055921016,-2.06060487314709,0.0393407514750573,0.0731092772353301
"ENSG00000131584",908.135222572613,1.06552635321433,0.0930171590354672,11.4551590724034,2.21556135850339e-30,5.82252194365725e-29
"ENSG00000169972",200.344379495034,0.613381419026207,0.139077771924467,4.41034832913008,1.03204471163891e-05,3.94160214885071e-05
"ENSG00000157911",398.785973902628,-0.192126634299075,0.115693765936783,-1.66064811481767,0.0967841396233887,0.158120329222744
"ENSG00000269896",23.0342362173203,-0.686899176225721,0.370043181734156,-1.85626761992118,0.0634154220050804,0.110197083647546
"ENSG00000237973",2037.15369804698,0.276161849282423,0.0780044526263769,3.54033442943538,0.00039962029207734,0.00116582772852011
"ENSG00000224051",356.974477383436,0.152990678188083,0.117941592616973,1.29717324307241,0.194571584898575,0.28286879584105
"ENSG00000157933",900.051966990917,-0.0553850864137023,0.0967246113274117,-0.572605934039108,0.566911540943924,0.662678381226102
"ENSG00000162591",576.579348199954,1.10976623245667,0.0959763105959686,11.5629182406109,6.35130126645772e-31,1.69206423052958e-29
"ENSG00000169962",12.8310371407041,-0.477009297492398,0.486763084004236,-0.979961942817024,0.327104904753587,0.431344410787433
"ENSG00000116285",1846.11987492601,-0.971945276685501,0.078618270182454,-12.3628423066273,4.15211353621425e-35,1.35936925341348e-33
"ENSG00000142655",347.036324477613,-0.220422065859152,0.122565926538701,-1.79839594970592,0.0721142841649903,0.122902066479059
"ENSG00000240409",23.6233854226694,0.130263998832526,0.359625034036844,0.362221721247525,0.717186348909945,0.788787456730023
"ENSG00000229344",255.979153625301,-0.123613532117406,0.128166174932697,-0.964478593375497,0.33480603568382,0.439473847049997
"ENSG00000149527",19.1269772456881,2.42301959621315,0.47169187401181,5.13686948983242,2.79352812882008e-07,1.34548898282943e-06
"ENSG00000171621",637.448116534827,0.341636186900728,0.0909364238108444,3.75686850861169,0.00017205284091465,0.000535746265874489
"ENSG00000162441",485.497408425505,-0.261944518352323,0.105105490018041,-2.49220586200931,0.0126952432535488,0.0268362403868002
"ENSG00000287356",22.071922666573,-1.22671209200027,0.393282197725094,-3.11916506543159,0.00181364326818404,0.00466992401207193
"ENSG00000227372",479.291993815951,-0.173084974826753,0.10518343369103,-1.64555357011048,0.0998557049196186,0.162257384379118
"ENSG00000074800",32156.0297264059,0.0515696012698394,0.0866467243398515,0.595170811854003,0.551729298764875,0.649553114522134
"ENSG00000116786",1073.64416079017,0.157446090916996,0.0872212897766756,1.80513371586371,0.0710537602138524,0.121319776490384
"ENSG00000176022",684.488443669548,-0.272072098850372,0.104492436020233,-2.6037492206392,0.00922101999892557,0.0201839938511354
"ENSG00000162496",2400.50015411548,-0.771049833705733,0.0688797786704606,-11.1941392465072,4.3561221170854e-29,1.08436991359687e-27
"ENSG00000173614",134.815462065895,-0.284324438299284,0.167484163462144,-1.69761983713492,0.0895795363265761,0.148223298776669
"ENSG00000248527",8000.76030191852,-0.172003346512774,0.0997909125415872,-1.72363737470677,0.0847733269950935,0.141302374253929
"ENSG00000116254",210.601341584854,4.11409886432243,0.210728695890999,19.5232018445674,6.97286516522671e-85,1.10614997393824e-82
"ENSG00000049245",1412.22226429786,0.306247574643079,0.0736386244119556,4.15878999762193,3.19937865532945e-05,0.000113197805222017
"ENSG00000179743",71.9778247771768,-0.0168631106189037,0.226812529203274,-0.0743482323403332,0.940733299340639,0.956955068175828
"ENSG00000171603",4707.94752074059,0.538170718922421,0.0768985954062702,6.99844666965841,2.58815839774811e-12,2.11142421882677e-11
"ENSG00000142606",7.78625821378919,3.93965427130749,0.978273517569022,4.02715007669573,5.6456999249474e-05,0.000192191696625697
"ENSG00000162572",138.638266153802,0.0568413062182763,0.161100544331438,0.352831248672472,0.72421495543983,0.794314957412007
"ENSG00000171729",551.95774476596,0.341115242225928,0.0956211317803212,3.56736252619978,0.000360592448708156,0.00106163965411799
"ENSG00000279457",46.1035157934472,0.248503488986407,0.269536680638865,0.921965382957881,0.356546632578655,0.462136131508395
"ENSG00000158109",636.067203790818,0.439590988990957,0.0935711029499612,4.6979353147738,2.62804629492795e-06,1.10691305446519e-05
"ENSG00000037637",369.115848903546,-0.10275129511727,0.112792782984253,-0.910974021552553,0.362309061775864,0.46786576590367
"ENSG00000184163",17.7669383125137,0.0246829120840242,0.457564711195643,0.0539440902676396,0.956979708829412,0.969030111940651
"ENSG00000159423",1021.60394904569,0.77056597471064,0.0974168644061922,7.90998539531785,2.57419092006529e-15,2.76258496649073e-14
"ENSG00000142599",1835.92020984246,-0.181953895353502,0.0745334561726184,-2.4412378641358,0.0146370103663195,0.0305265723547597
"ENSG00000011021",709.640293968422,-0.0192140443201392,0.102026893686566,-0.188323329524921,0.850623198220894,0.891114402721502
"ENSG00000272482",31.3261515917625,0.236763766265575,0.32192233982581,0.735468580383971,0.462054168352307,0.566887804102352
"ENSG00000284747",18.4350142957553,-0.0378980616698316,0.448424456279311,-0.0845138152907208,0.932647919125254,0.951014210759988
"ENSG00000065526",1497.05490510633,0.262958996495579,0.0886175494789029,2.9673467393519,0.00300381995282979,0.00739008039192794
"ENSG00000157916",1797.97570839959,0.0588683598146481,0.0728697673480536,0.807857112174799,0.419172842906477,0.526189922215526
"ENSG00000157881",310.391178019942,-0.112126707165699,0.119092177820758,-0.941511938210228,0.346442574317129,0.451487895581322
"ENSG00000116213",412.069410068368,0.136370319743823,0.103468586266849,1.31798765851617,0.187507779331047,0.274359445692334
"ENSG00000048707",1057.84560356578,0.0828368147327234,0.0902471482980993,0.917888446281998,0.358677271011292,0.464224768219507
"ENSG00000158748",40.1407610049515,2.82641463541888,0.351004177558392,8.05236751049405,8.12076258480338e-16,9.14830904485597e-15
"ENSG00000130762",272.700212645212,0.445516061731323,0.12099583790162,3.68207757768963,0.000231340986433328,0.0007050122621833
"ENSG00000162444",39.995407429749,2.36944349745274,0.330636991529244,7.16629886599718,7.70524659818061e-13,6.6267399279572e-12
"ENSG00000180758",309.629103714642,0.565739402105563,0.117514039143066,4.81422820822975,1.47769866575468e-06,6.45129890353246e-06
"ENSG00000184677",719.644838375727,0.0689220593625651,0.0985366445349635,0.699456123027507,0.484267024541231,0.588554086797916
"ENSG00000132879",590.279528326473,0.676324561428663,0.1028731298472,6.57435583454322,4.88642477598725e-11,3.53223331984165e-10
"ENSG00000288398",89.5094258406042,-0.0138929193710515,0.190840134507408,-0.0727987297164279,0.941966281815828,0.957773663773815
"ENSG00000131697",298.285973524359,-0.0602931289269671,0.13220420548454,-0.45606059736139,0.648346403451194,0.732538846514749
"ENSG00000188807",375.239684884445,0.432133011899675,0.108831779278638,3.97065098782683,7.16765145220922e-05,0.000239333176121414
"ENSG00000198793",1465.50379145684,-0.133707750199481,0.104389754012747,-1.2808512814692,0.200245907682569,0.289753892350873
"ENSG00000078900",12.1838162770247,1.41206212817867,0.520737375215494,2.71165888101333,0.00669474487084716,0.0151935619711644
"ENSG00000116288",3578.11472701324,-0.167578055131156,0.0722391136353652,-2.31976898245214,0.0203533778581859,0.0409225076190049
"ENSG00000169504",1645.73809149458,-0.507126637422658,0.104115546166423,-4.87080610048422,1.11143870303067e-06,4.94255998162212e-06
"ENSG00000181773",31.2402609509603,1.55290395123862,0.360943688622008,4.30234410571691,1.69000574057262e-05,6.2361176090066e-05
"ENSG00000241547",22.1208380592902,0.0108298399938071,0.367657937949109,0.0294562931354583,0.97650067682671,0.983205632140447
"ENSG00000233954",44.7477092823398,0.0155779664467209,0.276238739717262,0.0563931274182086,0.955028631770393,0.96761595682479
"ENSG00000055070",2030.58453886532,-0.273332708329419,0.0827579079047688,-3.30279867204894,0.000957250873470891,0.00259903963623262
"ENSG00000175087",128.518078742373,-0.484188507327349,0.169531746109684,-2.85603445040959,0.00428968586243195,0.0102024012947305
"ENSG00000171735",635.639542686233,0.634703891535286,0.104961747960402,6.04700192087822,1.47565999197209e-09,9.24937746404917e-09
"ENSG00000157191",790.609136891711,0.325363060196509,0.084885223023314,3.83297644287448,0.000126602081219935,0.000403729224650561
"ENSG00000116663",128.623355595985,-0.408687795332124,0.176195792159495,-2.3195093953332,0.0203674322937025,0.0409460476411415
"ENSG00000204138",924.586536206692,-0.486392909998293,0.0847954661384166,-5.73607212919056,9.68974085754991e-09,5.56753302483523e-08
"ENSG00000116237",2730.63523937186,0.386555499668755,0.0683624189710786,5.65450294894175,1.56297914834672e-08,8.80089904441765e-08
"ENSG00000158195",1710.04635447973,-0.367028897489652,0.0828736371538114,-4.42877747489779,9.47687386006072e-06,3.64093898850858e-05
"ENSG00000130772",264.979130413639,-0.214314659652044,0.126352945743165,-1.69615879069158,0.0898558123201158,0.148609982464792
"ENSG00000240731",23.2490605071249,0.250579519287111,0.358963131309944,0.69806478000313,0.485136682763081,0.589355122649347
"ENSG00000090020",700.842360292726,0.917107025018907,0.0978234698032956,9.37512262510249,6.90954054553121e-21,1.08427592193813e-19
"ENSG00000157978",456.917732560506,0.306933464091355,0.104734755292075,2.93057890129601,0.00338331062577188,0.00823184194363068
"ENSG00000226944",14.1478244859819,-1.17592914204519,0.485428383266238,-2.42245649941784,0.0154159713252061,0.0319449827365927
"ENSG00000130770",936.11008398327,-0.353848704334448,0.0908770421910126,-3.89370841967657,9.87233052700359e-05,0.000321163623594729
"ENSG00000162512",1211.34690301196,0.96622356601247,0.0785780073736804,12.296361263242,9.47470454565179e-35,3.02808780808835e-33
"ENSG00000272449",27.5543092417897,0.406128823699568,0.34654507864577,1.17193649174485,0.241222554757475,0.337448579486768
"ENSG00000158006",338.049891038984,-0.142954826204804,0.112830350786642,-1.26698911425992,0.205159182286574,0.295601331921453
"ENSG00000142784",804.400703638217,0.426830271740506,0.101930028328339,4.18748310719185,2.82065007815364e-05,0.000100737502791201
"ENSG00000126698",1265.83281015868,0.0717421267171333,0.0818996454479038,0.875976035363526,0.381043061901623,0.487688531314198
"ENSG00000130766",534.586006204658,-1.23355645695806,0.104457062398309,-11.8092202541016,3.49790107970539e-32,9.84489900659016e-31
"ENSG00000168528",1271.72526828401,0.830119258225322,0.0887990882726336,9.34828582560066,8.90796671096073e-21,1.37682922149039e-19
"ENSG00000169403",66.983778508899,3.18461575210724,0.294106586762198,10.8281007479856,2.53355706405691e-27,5.75658473538971e-26
"ENSG00000117676",759.299863094147,0.848672751819782,0.0999216484474101,8.49338221503069,2.00708868307327e-17,2.52332114694731e-16
"ENSG00000084628",31.204379332971,2.38046558835624,0.389091932226531,6.11800294787485,9.47553145860096e-10,6.04121388208209e-09
"ENSG00000060688",619.047689599813,-0.2221206367235,0.110107047929762,-2.01731533902528,0.0436626158864608,0.0801169976044943
"ENSG00000171612",140.844786043128,-0.264201886617072,0.169416474861875,-1.559481666895,0.118882420395257,0.187958524589764
"ENSG00000162458",1045.45618132785,0.190595063316259,0.0830984368370786,2.29360587961403,0.0218131473652591,0.0435265204715576
"ENSG00000188910",24.8576733523274,1.16138618333066,0.376092451366583,3.08803375103809,0.00201485586293912,0.0051349839077104
"ENSG00000186056",49.280247146879,-1.1361037267347,0.261057029471112,-4.35193692748434,1.34940085355215e-05,5.06824039915734e-05
"ENSG00000116138",570.14005000232,-0.250831685860662,0.0964530139405081,-2.60055829893895,0.00930722033610725,0.0203471554579142
"ENSG00000142765",72.2185762213514,0.0854596905808899,0.210525500243422,0.405935102788387,0.684790285012697,0.762528905205255
"ENSG00000158161",349.977349075995,0.369777292922042,0.110689638020409,3.34066764997335,0.000835772042558794,0.0022996250619128
"ENSG00000142627",4051.3437474736,-0.0081758720317046,0.0772048660181467,-0.105898403214415,0.915662960995441,0.939072504811663
"ENSG00000142632",218.446027166189,0.154011515332446,0.148347365756017,1.03818166603473,0.299185486541647,0.401784418974276
"ENSG00000162490",11.4342860393391,4.51966123276387,0.935601529099174,4.83075443144641,1.36016678720257e-06,5.97555650470416e-06
"ENSG00000158292",243.984906019528,2.37637399159811,0.145520817973215,16.3301307998111,6.02550295156757e-60,4.69397439753813e-58
"ENSG00000270605",24.5897366064796,-0.212006019786402,0.365864000591207,-0.579466740219908,0.562274282403059,0.65903319639531
"ENSG00000142733",257.596617621295,-0.803527075585345,0.128340301255973,-6.26091000038034,3.82737379966286e-10,2.54429229729969e-09
"ENSG00000189337",101.525973229045,1.13686168995862,0.186915458424511,6.08222401475562,1.18526805716287e-09,7.47485637784321e-09
"ENSG00000235084",50.6717774793047,0.275395841570791,0.268296201647328,1.02646194720563,0.304673891405248,0.407774152862524
"ENSG00000225077",23.8194966746601,0.355919196615817,0.356389751851592,0.998679661148138,0.317949896386261,0.421973182506177
"ENSG00000028137",43.1221067855871,4.7127437826562,0.511865916223236,9.20698884862041,3.35401527779457e-20,5.01092179773247e-19
"ENSG00000238249",9.56551548167867,-1.28892437911015,0.583260851208347,-2.2098592361203,0.0271149330901116,0.0526781988891614
"ENSG00000187952",14.2451899390239,-0.0663700361155164,0.457908690259116,-0.144941639080839,0.884756950308011,0.916832416627574
"ENSG00000237938",12.4311937072098,-0.233614226885051,0.500542702748493,-0.466721871285445,0.640698879715767,0.726269679812923
"ENSG00000142687",1375.80185261782,0.10739997002693,0.0782826820088271,1.37195056774907,0.170078826823181,0.253318157055693
"ENSG00000130939",999.315497515846,-0.0798015866613588,0.0839936933974137,-0.950090220271418,0.342066412027474,0.446886193747055
"ENSG00000175147",44.4465415269047,1.3002324689439,0.277324513351847,4.68848733647381,2.75231943879659e-06,1.1545186107452e-05
"ENSG00000060656",1683.24351604162,0.467485176374036,0.0914026022835445,5.11457184691337,3.1445338685975e-07,1.50499495356628e-06
"ENSG00000163867",145.138311699252,-0.234028748522826,0.164445957508713,-1.42313470071423,0.154697110684285,0.234328522694511
"ENSG00000134698",300.733958963554,-0.104498555558039,0.12431607527548,-0.840587633791318,0.400578988851059,0.507706519135022
"ENSG00000134690",456.348190553816,-0.693438488534397,0.111882312678104,-6.19792773259418,5.7211396588185e-10,3.73769700660363e-09
"ENSG00000132881",83.631289001937,0.179439922925836,0.206050706918339,0.870853226419412,0.383834298547348,0.490473675282018
"ENSG00000273274",12.0838017717157,4.62749952207928,0.932019664287585,4.96502348543948,6.86927567744581e-07,3.14121752021566e-06
"ENSG00000224321",41.9628153081851,-0.381460494661897,0.275439529367098,-1.38491557670902,0.166078283454717,0.248313430407404
"ENSG00000116251",1564.98370593001,0.0568337895827178,0.0952116379664531,0.596920615972835,0.55056038236216,0.648614547138786
"ENSG00000158286",447.590683392481,-0.411853755191397,0.110410237014482,-3.73021348679267,0.000191317593143636,0.000590883539886096
"ENSG00000009709",171.279345089669,-0.700647118719055,0.147718424542697,-4.74312612585805,2.10445152737229e-06,9.00286323918768e-06
